Order ID,Product,Quantity,Price,Order Date,Region
1,Product C,2,91,2023-12-30,Asia
2,Product D,3,22,2023-04-22,Asia
3,Product A,2,52,2023-01-07,Europe
4,Product C,3,94,2023-08-18,South America
5,Product C,2,30,2023-06-05,North America
6,Product D,2,64,2023-07-16,South America
7,Product A,1,90,2023-11-19,Europe
8,Product A,4,49,2023-12-30,North America
9,Product C,4,92,2023-08-11,Europe
10,Product B,3,24,2023-09-07,South America
11,Product C,4,82,2023-03-24,Asia
12,Product C,2,61,2023-08-28,Europe
13,Product C,2,83,2023-12-26,Europe
14,Product C,1,62,2023-11-19,Asia
15,Product D,1,96,2023-09-20,South America
16,Product A,4,61,2023-07-08,Europe
17,Product D,3,39,2023-10-17,South America
18,Product D,4,42,2023-12-28,Asia
19,Product D,4,66,2023-02-27,North America
20,Product C,4,61,2023-01-09,Europe
21,Product B,4,18,2023-10-31,South America
22,Product A,2,63,2023-04-25,Asia
23,Product B,3,10,2023-07-29,Asia
24,Product D,2,53,2023-02-10,Europe
25,Product D,3,84,2023-10-31,North America
26,Product B,1,89,2023-06-22,Europe
27,Product B,4,18,2023-08-22,South America
28,Product B,2,41,2023-10-08,Asia
29,Product D,3,24,2023-03-19,North America
30,Product D,1,21,2023-04-18,South America
31,Product A,1,87,2023-10-08,Europe
32,Product A,4,66,2023-02-08,Asia
33,Product D,3,17,2023-04-29,Europe
34,Product B,2,81,2023-12-01,North America
35,Product B,4,36,2023-12-02,North America
36,Product A,2,71,2023-01-27,North America
37,Product D,1,21,2023-04-14,North America
38,Product A,2,74,2023-03-15,North America
39,Product A,2,51,2023-07-10,Europe
40,Product C,4,71,2023-11-20,North America
41,Product C,2,20,2023-05-27,North America
42,Product C,4,52,2023-09-12,Asia
43,Product B,1,26,2023-10-11,North America
44,Product D,4,41,2023-08-01,Asia
45,Product D,4,94,2023-05-03,Asia
46,Product D,3,94,2023-07-25,Asia
47,Product D,2,49,2023-08-28,Europe
48,Product C,1,32,2023-12-05,Europe
49,Product B,4,65,2023-10-13,South America
50,Product B,1,15,2023-01-22,South America
51,Product C,3,95,2023-09-16,Asia
52,Product B,2,59,2023-12-23,Europe
53,Product C,4,46,2023-04-15,North America
54,Product D,2,73,2023-09-15,South America
55,Product C,3,63,2023-07-23,Europe
56,Product D,3,81,2023-11-06,North America
57,Product D,1,58,2023-09-19,North America
58,Product A,4,20,2023-04-17,Europe
59,Product C,1,97,2023-09-08,South America
60,Product A,3,58,2023-08-09,Europe
61,Product C,2,30,2023-08-10,South America
62,Product C,1,75,2023-09-15,Asia
63,Product A,1,72,2023-07-20,Europe
64,Product A,2,92,2023-09-15,Europe
65,Product C,1,37,2023-12-15,South America
66,Product B,2,26,2023-08-13,South America
67,Product D,4,15,2023-07-21,Europe
68,Product A,2,28,2023-08-14,North America
69,Product D,4,65,2023-08-24,North America
70,Product B,2,37,2023-07-02,North America
71,Product B,3,75,2023-07-19,Asia
72,Product B,3,47,2023-12-23,Asia
73,Product A,4,46,2023-09-03,South America
74,Product B,4,77,2023-12-19,Asia
75,Product A,3,95,2023-04-21,North America
76,Product B,4,99,2023-01-06,Europe
77,Product D,2,58,2023-08-24,Asia
78,Product D,2,52,2023-05-07,Asia
79,Product C,3,45,2023-04-14,North America
80,Product D,1,67,2023-08-25,Asia
81,Product C,2,22,2023-06-04,South America
82,Product D,4,61,2023-09-14,Europe
83,Product A,1,67,2023-08-23,North America
84,Product D,1,41,2023-10-16,South America
85,Product C,2,90,2023-02-09,North America
86,Product C,2,69,2023-10-15,South America
87,Product B,1,92,2023-07-16,Europe
88,Product A,1,67,2023-09-30,Europe
89,Product D,3,65,2023-09-21,South America
90,Product B,4,37,2023-02-26,South America
91,Product D,3,10,2023-10-25,South America
92,Product D,2,51,2023-04-08,South America
93,Product B,3,91,2023-05-17,South America
94,Product B,3,57,2023-03-28,South America
95,Product B,3,49,2023-08-30,Europe
96,Product B,3,72,2023-07-18,South America
97,Product B,4,85,2023-11-06,Asia
98,Product D,4,81,2023-03-25,Europe
99,Product B,1,97,2023-08-30,North America
100,Product A,2,89,2023-10-08,Europe
101,Product C,3,13,2023-11-19,North America
102,Product B,1,47,2023-09-09,North America
103,Product B,1,36,2023-07-09,Asia
104,Product D,1,18,2023-06-01,South America
105,Product B,4,25,2023-10-29,South America
106,Product B,3,65,2023-10-05,Europe
107,Product B,3,85,2023-05-19,South America
108,Product D,2,40,2023-06-25,Asia
109,Product B,3,97,2023-01-08,Europe
110,Product C,3,23,2023-10-22,Europe
111,Product D,1,34,2023-08-23,Europe
112,Product C,2,43,2023-06-12,South America
113,Product D,3,76,2023-02-18,South America
114,Product B,4,33,2023-10-29,South America
115,Product C,3,82,2023-02-07,Europe
116,Product D,1,35,2023-05-16,Europe
117,Product A,4,29,2023-11-06,North America
118,Product B,1,73,2023-08-07,North America
119,Product D,3,19,2023-12-14,South America
120,Product A,4,92,2023-10-23,Europe
121,Product D,2,76,2023-02-03,South America
122,Product A,2,33,2023-12-18,South America
123,Product B,4,14,2023-03-20,North America
124,Product C,4,76,2023-08-24,Asia
125,Product A,1,67,2023-09-30,South America
126,Product D,4,36,2023-06-10,Asia
127,Product B,1,89,2023-06-24,Asia
128,Product A,3,24,2023-11-04,Europe
129,Product D,1,44,2023-08-09,Europe
130,Product D,4,85,2023-01-09,South America
131,Product D,4,62,2023-10-16,North America
132,Product A,3,53,2023-04-23,North America
133,Product A,4,35,2023-07-24,South America
134,Product A,4,56,2023-07-05,South America
135,Product C,2,43,2023-12-07,North America
136,Product A,2,96,2023-07-16,Asia
137,Product A,3,59,2023-09-23,South America
138,Product A,1,93,2023-09-19,Asia
139,Product C,2,21,2023-09-05,South America
140,Product A,1,96,2023-04-25,South America
141,Product D,4,13,2023-05-01,Asia
142,Product A,2,96,2023-05-21,Asia
143,Product D,3,57,2023-03-06,North America
144,Product D,3,64,2023-10-03,South America
145,Product D,3,10,2023-11-09,Europe
146,Product C,2,98,2023-08-27,Europe
147,Product C,1,75,2023-10-29,South America
148,Product C,4,39,2023-01-10,South America
149,Product A,1,12,2023-08-21,South America
150,Product D,1,30,2023-07-14,Asia
151,Product C,4,98,2023-01-12,Europe
152,Product C,4,93,2023-06-26,Europe
153,Product A,2,58,2023-06-26,Europe
154,Product C,2,95,2023-08-05,South America
155,Product A,2,94,2023-01-11,Asia
156,Product B,2,71,2023-04-28,South America
157,Product C,2,47,2023-06-13,North America
158,Product B,4,24,2023-02-08,North America
159,Product A,1,61,2023-02-22,Europe
160,Product D,2,88,2023-08-06,South America
161,Product C,2,55,2023-07-25,North America
162,Product A,1,34,2023-11-08,North America
163,Product D,2,30,2023-12-26,South America
164,Product D,1,97,2023-02-25,Asia
165,Product B,1,14,2023-04-28,South America
166,Product A,4,79,2023-09-10,South America
167,Product D,3,56,2023-10-13,Asia
168,Product C,4,96,2023-09-25,Europe
169,Product C,3,77,2023-10-18,Europe
170,Product B,3,27,2023-11-29,Europe
171,Product D,3,30,2023-06-29,Asia
172,Product A,2,95,2023-12-24,North America
173,Product C,4,32,2023-08-23,Asia
174,Product D,3,73,2023-12-09,South America
175,Product D,1,76,2023-07-15,Asia
176,Product B,2,49,2023-11-04,North America
177,Product C,4,19,2023-03-21,North America
